Longitude,Latitude,UHI_Class
-70.58050833,-33.58697979,Low
-70.57948,-33.59209917,Low
-70.57836597,-33.59741944,Low
-70.56666139,-33.59710917,Low
-70.56629625,-33.59707875,Low
-70.54158267,-33.5913786,Low
-70.56869021,-33.61193083,Low
-70.57549292,-33.6163775,Low
-70.59034575,-33.61853858,Low
-70.59057649,-33.61661095,Low
-70.59074444,-33.61462833,Low
-70.59070042,-33.61440792,Low
-70.59026917,-33.61440375,Low
-70.58964667,-33.61441125,Low
-70.58937792,-33.61448292,Low
-70.589395,-33.61479833,Low
-70.58857,-33.614415,Low
-70.58843861,-33.61436944,Low
-70.59644464,-33.58785238,Low
-70.59736483,-33.58154286,Medium
-70.59273979,-33.58084354,Low
-70.59018375,-33.58047333,Low
-70.58752333,-33.58007396,Low
-70.58043833,-33.58730833,Low
-70.58035667,-33.58762833,Low
-70.58028,-33.58799333,Low
-70.580195,-33.58834667,Low
-70.58013333,-33.58863333,Low
-70.58010833,-33.58891833,Low
-70.58006667,-33.58928833,Low
-70.57999667,-33.58970167,Low
-70.57991667,-33.59013167,Low
-70.5798,-33.59057167,Low
-70.57968333,-33.591025,Low
-70.579585,-33.59145167,Low
-70.57951833,-33.591815,Low
-70.57945167,-33.59223833,Low
-70.579385,-33.5926,Low
-70.57930167,-33.59301667,Low
-70.579245,-33.59342333,Low
-70.57914167,-33.59385167,Low
-70.57904333,-33.59430667,Low
-70.57896333,-33.59473833,Low
-70.578875,-33.59522,Low
-70.57872833,-33.59568,Low
-70.57865333,-33.596195,Low
-70.57857833,-33.596675,Low
-70.57846667,-33.59707333,Low
-70.57828167,-33.59770833,Low
-70.57825167,-33.59797667,Low
-70.57790167,-33.59810167,Low
-70.57741833,-33.59805167,Low
-70.57691667,-33.598,Low
-70.576415,-33.597915,Low
-70.57581167,-33.5979,Low
-70.57526667,-33.59784167,Low
-70.574825,-33.59780167,Low
-70.57450667,-33.59777667,Low
-70.57411167,-33.59774667,Low
-70.573595,-33.5977,Low
-70.57303833,-33.59767167,Low
-70.57255167,-33.597615,Low
-70.57209,-33.59759667,Low
-70.57160333,-33.59752667,Low
-70.57116,-33.59749,Low
-70.57072833,-33.59746167,Low
-70.57039667,-33.597425,Medium
-70.57004833,-33.59739,Medium
-70.56962833,-33.59734667,Medium
-70.56922167,-33.59731,Medium
-70.56887167,-33.597295,Medium
-70.56850833,-33.59726167,Medium
-70.56815833,-33.597225,Medium
-70.56771167,-33.59718,Low
-70.56730833,-33.59715333,Low
-70.56694,-33.59712667,Low
-70.56618,-33.59696667,Low
-70.566275,-33.59661333,Low
-70.56639,-33.59624,Low
-70.56653,-33.595805,Low
-70.56662833,-33.59531167,Low
-70.56670333,-33.594905,Low
-70.56662833,-33.594465,Low
-70.56656833,-33.594015,Low
-70.56649667,-33.59356833,Low
-70.56644667,-33.59323833,Low
-70.56639667,-33.59292667,Low
-70.56605,-33.59282667,Low
-70.56562667,-33.59282833,Low
-70.56512,-33.59277833,Low
-70.56463333,-33.59275167,Low
-70.56411667,-33.59269,Low
-70.56361333,-33.592645,Low
-70.56317333,-33.59263833,Low
-70.56281167,-33.59262333,Low
-70.562425,-33.59259,Low
-70.56201333,-33.59258333,Low
-70.56157167,-33.59254667,Low
-70.56114167,-33.59250333,Low
-70.56074333,-33.59248333,Low
-70.56033167,-33.592615,Low
-70.56015,-33.59287833,Low
-70.55994167,-33.59318833,Low
-70.55971333,-33.59354667,Low
-70.55949667,-33.593915,Low
-70.55926,-33.59429333,Low
-70.559035,-33.59465833,Low
-70.55886333,-33.59494,Low
-70.55867833,-33.595275,Low
-70.55850667,-33.59557333,Low
-70.558315,-33.59590167,Low
-70.55811667,-33.59621167,Low
-70.55789667,-33.59650167,Low
-70.55755,-33.59650667,Low
-70.557165,-33.596485,Low
-70.55665333,-33.59647667,Low
-70.55620167,-33.59642,Low
-70.555835,-33.59637667,Low
-70.55541,-33.596365,Low
-70.555055,-33.59628667,Low
-70.55458833,-33.59621333,Low
-70.55402167,-33.59616833,Low
-70.55345333,-33.59609667,Low
-70.55290667,-33.596035,Low
-70.55242667,-33.59594667,Low
-70.5519,-33.595875,Low
-70.55143833,-33.59583,Low
-70.55097833,-33.59577167,Low
-70.55056333,-33.595725,Low
-70.55018667,-33.59571,Low
-70.54971167,-33.59562333,Low
-70.54929333,-33.5956,Low
-70.54891667,-33.59556167,Low
-70.54849833,-33.595495,Low
-70.548005,-33.59543,Low
-70.54756333,-33.59538333,Low
-70.54717667,-33.59534167,Low
-70.54676833,-33.59529,Low
-70.54639333,-33.59524,Low
-70.54605333,-33.595195,Low
-70.54568167,-33.59505667,Low
-70.54537333,-33.59474167,Low
-70.54511,-33.59442833,Low
-70.54490167,-33.594155,Low
-70.544685,-33.59389833,Low
-70.54447833,-33.59365333,Low
-70.54427833,-33.59339167,Low
-70.54399833,-33.59306833,Low
-70.54368833,-33.59271167,Low
-70.543365,-33.592365,Low
-70.543085,-33.59201667,Low
-70.54285667,-33.591735,Low
-70.54257833,-33.591485,Low
-70.542235,-33.59136,Low
-70.54186333,-33.59133333,Low
-70.54113167,-33.59140167,Low
-70.54067833,-33.59129833,Low
-70.54039333,-33.59153833,Low
-70.540085,-33.59179833,Low
-70.53978333,-33.59219167,Low
-70.53949333,-33.59259667,Low
-70.53918,-33.59301833,Low
-70.53890167,-33.59339833,Low
-70.538675,-33.59371667,Low
-70.53839667,-33.59406167,Low
-70.538165,-33.59435667,Low
-70.53787833,-33.59464,Low
-70.537445,-33.59496833,Low
-70.53699167,-33.59523333,Low
-70.53648,-33.59545333,Low
-70.53599667,-33.59569333,Low
-70.53548167,-33.59595833,Low
-70.534905,-33.59622667,Low
-70.53431333,-33.59650833,Low
-70.53372167,-33.59679167,Low
-70.53316,-33.59709667,Low
-70.532635,-33.59740833,Low
-70.532135,-33.59775167,Low
-70.53167667,-33.598115,Low
-70.53124667,-33.59843167,Low
-70.53105667,-33.59872667,Low
-70.53101,-33.59902333,Low
-70.53115333,-33.59939833,Low
-70.53127833,-33.59963333,Low
-70.53142,-33.59990333,Low
-70.53157167,-33.6002,Low
-70.53173167,-33.60054167,Low
-70.53194333,-33.600895,Low
-70.53217833,-33.60125,Low
-70.53239333,-33.60163833,Low
-70.53262167,-33.602025,Low
-70.53281333,-33.60239,Low
-70.53293667,-33.60265667,Low
-70.53307333,-33.60300833,Low
-70.53321167,-33.60339,Low
-70.53330333,-33.60369167,Low
-70.533395,-33.603975,Low
-70.53352,-33.60430833,Low
-70.53362833,-33.60464333,Low
-70.53375667,-33.60498667,Low
-70.534005,-33.60532833,Low
-70.53415,-33.60558833,Low
-70.534285,-33.60587167,Low
-70.53443667,-33.60615333,Low
-70.534655,-33.60641167,Low
-70.53500833,-33.606595,Low
-70.53543333,-33.60677167,Low
-70.53583667,-33.60691333,Low
-70.53627333,-33.60704833,Low
-70.53671333,-33.60725,Low
-70.53710167,-33.6075,Low
-70.53742833,-33.60773667,Low
-70.53767833,-33.60791333,Low
-70.53801333,-33.60816,Low
